,academy_lat,academy_long,lesson_price,service_rate,lecutre_rate,facility_rate,academy_name,academy_id,state
429,33.5014137808934,126.609618638458,764500.0,5.0,4.0,5.0,삼다,khkpaweAjBOtMSTGVVQZ,1.0
443,36.4505899,127.1550079,782100.0,4.5,4.5,5.0,공주,HyZcALCiY48myKdcrhvI,1.0
461,36.6787196,127.480993,864000.0,4.0,4.0,4.0,충북,02GtHnCzNTp3Req62tNd,1.0
468,35.9074079,128.8250453,715000.0,4.5,4.5,3.5,하양,IU6S2KXuyLTuNpgSfrNk,1.0
477,37.2434556,126.9606876,781000.0,4.0,4.0,3.0,뉴삼성,ev8fqjckrB7wpRXjm4wC,0.0
482,37.0444007,127.0643295,838200.0,5.0,5.0,4.0,평택삼성,NPpo62Ddk5tmXQGAAcbb,1.0
487,37.0911512,126.8287554,792000.0,4.0,4.0,5.0,화성향남,fu8ErVoVe0JGFqbzfU2x,1.0
488,37.5452144,126.6478611,809600.0,4.0,4.0,5.0,대우,7TMTGmecRjTAMxa5LVst,0.0
493,36.5497734,128.7133592,847000.0,5.0,5.0,4.0,안동새한,hvwNKwBBnzKmIMUB4fUv,1.0
557,36.4926899,127.2117552,788700.0,5.0,4.5,4.0,신관,XR1bcuHAUm4F9MRsCr68,1.0
581,37.5533162,126.746005,790000.0,4.0,4.0,4.0,한양,yJkJwLkccYWWEPqdZoAa,1.0
582,36.0508681,128.3390162,704000.0,4.0,4.0,4.5,우리,InqsH7gyOaa65kdbr3f3,1.0
590,35.1719904,126.8552643,593000.0,4.5,4.5,4.5,상무,O667ARxZgaaH9SGNlT5E,1.0
614,37.526388,126.755622,759000.0,4.5,5.0,5.0,서울신진,UPelWpMgnDVn0Xt5mb0y,0.0
643,37.7896101,126.8123997,841500.0,4.5,4.5,5.0,신진,CQGj52KRB8BRoXuXRl2M,1.0
649,37.5271766,126.7493761,757000.0,4.0,4.0,2.0,거성,mkUDWq7HcMZ09cM7DZ8i,0.0
753,34.9483416,128.0784076,836000.0,5.0,5.0,4.5,삼천포,IdiE9ngLqYWDY4MW0Td0,1.0
762,37.5848181,126.671061,850000.0,3.0,4.0,4.0,중앙,Hrp3UaKotnkUafCFKx3D,1.0
816,36.8444315,127.1550558,885500.0,4.0,5.0,4.0,중앙삼성,3mi3ZvqYS275OuGAumFN,1.0
947,37.7168751852931,126.475790217745,797500.0,5.0,5.0,4.5,강화,LyNBLYCry6lJiG3SGmFG,1.0
1079,36.2798509,127.2402189,798600.0,3.5,4.0,4.0,서부,6Q5jPIu3xhVA4JSqcDco,1.0
1152,35.9753283,129.4493618,740300.0,4.0,4.5,4.0,경포,hdToluff9us5ghFgC3MZ,1.0
1615,37.2476311,127.2453384,810000.0,4.5,5.0,5.0,용인,homCBU2h2Yg7p6berPax,1.0
1717,37.3135865,127.8939983,858000.0,4.5,4.5,4.0,흥업,NFKwhqUvdDIxYdtyIOE8,1.0
2608,34.9668351,126.6969008,524600.0,4.0,4.0,5.0,새천년,QeWBbKVOrlqVu81EcXI9,1.0
3228,36.9662023,127.8512153,735000.0,4.5,4.5,5.0,중앙,blzVkLYZ3ykUvjTGV4qV,1.0
3238,37.9151111,127.21513,720000.0,4.0,5.0,4.0,행운,Vm0ZEDAayHs7kWTJAA7L,1.0
3248,37.8045674,127.486804,698000.0,5.0,4.0,5.0,우리,ljMjkasNYUKX2MreTLqC,1.0
3258,36.272087,126.9598867,803000.0,5.0,5.0,5.0,명문,AcVZTJTc5NEzgWDrvkTz,1.0
3268,37.7126662,127.9163549,796500.0,4.5,5.0,4.5,나래,mekPVnojYTUXaASkfPFp,1.0
3278,37.44134,129.127932,847000.0,5.0,4.0,5.0,삼척,gHH8WrLWOvh3R2chpxmL,1.0
3288,36.7687409,126.9925972,885500.0,5.0,4.5,3.5,용화,qaHvS0nLSw77NZDCmDRj,1.0
3298,33.2725181,126.6903853,789800.0,4.5,5.0,5.0,원영,ZJawK6iLTTE4mYm4ndy9,1.0
3308,37.8495485,128.8442976,720500.0,4.5,4.5,5.0,강릉,kn8KqjFl7CoYJccHbHVV,1.0
3318,37.6662072,126.6535931,825000.0,4.5,4.5,4.5,한신,m99lBNgA6GCn0rwF4fqY,1.0
3328,38.0621692,127.0827014,750000.0,5.0,5.0,4.5,연천,P1wqYukJHxIASdr6jRPy,1.0
3338,37.838888,126.81915,833800.0,5.0,5.0,5.0,하예서부,z5NDkv4bqsOVF5i0KEHy,1.0
3348,33.4782166,126.529682,764500.0,4.5,4.0,4.5,제주,166gqvaZPw6dSzvPcnvS,1.0
3358,36.8189896,128.6408582,760000.0,5.0,5.0,4.0,대영,nA9yEigd1nZzerPkmUzn,0.0
3368,38.178159,127.2280379,690000.0,4.5,4.0,4.5,동송,WD3cKGbZkNJAdjRpaMHr,0.0
3378,36.147481,128.2859266,765600.0,4.5,4.5,5.0,중앙,E30b63pCC93CHaIJ2ued,0.0
3388,35.7773998590484,127.10284361294,762000.0,5.0,5.0,4.5,신삼천,zSJnibWFWGV5MYgmTgz5,0.0
