,academy_lat,academy_long,lesson_price,service_rate,lecutre_rate,facility_rate,academy_name,academy_id,state
3095,36.8381867,127.106315,884510,5.0,5.0,5.0,불당,5oY81sHfmt9jHP3t8blj,1
3101,37.8485336174669,127.051043025109,730000,4.3,4.3,4.0,북부중앙,xssGISppalk7lLraIlQo,1
3111,36.2720980012676,126.960074206304,803000,4.7,4.7,5.0,명문,AcVZTJTc5NEzgWDrvkTz,1
3117,35.8960265028554,128.546531540797,738000,4.3,4.3,4.3,동양,QLN0dYXZ1hHPjiTD4iw9,1
3247,38.1780893916006,127.228352110514,680000,4.7,4.3,4.7,동송,WD3cKGbZkNJAdjRpaMHr,1
3248,35.1632218791377,128.050655912299,827200,4.7,4.3,4.7,도원성,dBcHxNRXeaf0W6DNIUo2,1
3255,36.7093148507728,127.527322814085,850000,4.5,4.5,4.5,덕일,IKpZZH9jcSMEGH1sQ2iY,1
3288,37.8516616610297,127.194262005304,750000,5.0,5.0,4.8,대진,M3iAmzacROKlcOaVAsk5,1
3336,36.6823660335408,127.505185507908,869000,4.6,4.6,4.8,대영,sNgSGFeNHBorptP3tcep,1
3349,35.177999982749,128.982091531376,759000,4.8,5.0,4.8,대성,6sustABBQELUoOHZrpPb,1
3417,37.667643410583,127.493673442792,669000,5.0,4.8,4.8,뉴강남,1yyMKNljZeSCdsTbBp2i,1
3428,36.0973123786965,127.458719440737,770000,4.7,4.6,4.3,금산,jV8NSCZ8tOhWPiE0tgh7,1
3442,36.4502612856656,127.15428507483,782100,4.5,4.5,5.0,공주,HyZcALCiY48myKdcrhvI,1
3449,35.975334020196,129.449364959814,740300,4.0,4.5,4.0,경포,hdToluff9us5ghFgC3MZ,1
3465,35.8854740423205,129.236094755387,715000,4.7,4.3,4.3,경주제일,lpy74wUkALu0cbuNhoxj,1
3467,35.8453645156454,128.744737758944,730000,4.5,4.3,4.5,경산수성,BXNsrqF6jUE1r3E8h0oA,1
3505,36.1692377221962,127.10011730082,803000,4.3,4.7,5.0,건양,7DiEvG0ZGQBEZrh2hyec,1
3508,37.8495459034373,128.844262819182,720500,4.7,4.7,4.7,강릉,kn8KqjFl7CoYJccHbHVV,1
3511,37.0916851089326,126.828773206551,792000,4.3,4.7,5.0,화성향남,fu8ErVoVe0JGFqbzfU2x,0
3534,37.6664769600205,126.652663334245,825000,4.5,4.5,4.5,한신,m99lBNgA6GCn0rwF4fqY,0
3543,37.5031620358355,126.648712433991,855800,4.5,4.0,4.5,한성,Xk2vFSzz4CVOC7AArtWw,0
3560,37.3671384837153,126.73954640514,847000,5.0,5.0,5.0,한빛,Db70g5VMEMXaeTWaFREX,0
3571,37.6820651272414,126.603451656265,805000,4.3,4.3,3.7,한강,25lOXfYij7y8XQsGJAIZ,0
3582,37.0444272389235,127.06433249599,838200,5.0,5.0,4.0,평택삼성,NPpo62Ddk5tmXQGAAcbb,0
3585,37.1618453589097,127.028948244124,836000,3.3,3.3,3.3,카카오,SHF2rCT8jxWOWiSk4KMS,0
3600,37.5848427376385,126.67042796265,850000,4.0,4.3,4.7,중앙,Hrp3UaKotnkUafCFKx3D,0
3608,33.478217615058,126.528660357248,764500,4.8,4.7,4.7,제주,166gqvaZPw6dSzvPcnvS,0
3774,37.4222716067037,126.905932454055,825000,4.0,4.0,3.3,안양,5X0f10OuqeKaUmHFzCQG,0
3809,37.2024789130905,127.036890865466,832100,0.0,0.0,0.0,아시아,UHi4Pk0oeZZDurshXytj,0
3810,37.5261092896886,126.755159460848,759000,4.5,5.0,5.0,신진,UPelWpMgnDVn0Xt5mb0y,0
3813,37.7895355187507,126.812794590513,841500,4.5,4.5,5.0,신진,CQGj52KRB8BRoXuXRl2M,0
3816,37.3309089723186,127.085761309686,698500,4.9,4.4,3.8,수지풍덕,4JdmwYWHSVROausQGFbv,0
3874,37.2686516337227,127.064209674652,781000,4.3,4.3,4.7,수원현대,ndbdRgTrbGsZ9Anphtbp,0
3895,37.2676688364178,127.065255980636,748000,4.5,4.0,4.5,수원원천,FPM9ycTzLmFTSDJg5ull,0
3938,37.0889011504078,127.057186906625,839000,5.0,5.0,5.0,송탄역,G8QnGz7vJWwsGBEzOfEL,0
3947,37.5261092896886,126.755159460848,759000,4.5,5.0,5.0,서울신진,UPelWpMgnDVn0Xt5mb0y,0
3971,37.6500866205074,126.651037106549,825000,4.0,5.0,3.5,서부,Jeffzuu815rTpZTFw12N,0
3981,34.9482367382013,128.078230828155,836000,5.0,5.0,4.5,삼천포,IdiE9ngLqYWDY4MW0Td0,0
3983,37.4055444268716,127.229762502376,616000,4.0,5.0,3.5,모란,Pi8o2tGE3v819jOjfwoD,0
4009,37.54533487942,126.648231627793,809600,4.0,4.0,5.0,대우,7TMTGmecRjTAMxa5LVst,0
4028,37.2513428839054,126.597558568251,792000,4.3,4.7,5.0,뉴현대,XCLY6VTwhknVccKSBxTn,0
4046,37.2437909055649,126.960611963062,781000,4.0,4.0,3.0,뉴삼성,ev8fqjckrB7wpRXjm4wC,0
4053,36.9999926258903,127.187659660231,836000,4.5,5.0,4.5,공도삼성,HNK4OMPZs95JJr1CgUH7,0
4057,37.7177094196706,126.475939382674,797500,5.0,5.0,4.5,강화,LyNBLYCry6lJiG3SGmFG,0
4066,37.0170525112622,127.135576291367,834000,4.0,4.0,4.0,e편한,b4agfudCSZPdVjRCb5bZ,0
4068,37.1456543818669,127.141741557074,789000,5.0,5.0,5.0,e동탄,C6KXw5pqsZCKO22Ko3Qv,0
